Time,LED_2W,LED_4W,Halogen,CFL,Toaster,Fan,Total
18:29:00,0,4,70,0,0,2,76
18:29:01,2,4,70,0,0,2,78
18:29:02,2,4,0,20,0,0,26
18:29:03,0,0,0,0,750,17,767
18:29:04,0,0,140,0,0,17,157
18:29:05,2,0,70,0,0,2,74
18:29:06,0,4,70,0,0,15,89
18:29:07,2,0,0,20,750,17,789
18:29:08,2,4,140,20,750,0,916
18:29:09,0,4,70,20,750,17,861
18:29:10,2,4,70,20,0,17,113
18:29:11,2,4,140,20,750,2,918
18:29:12,0,4,0,0,0,17,21
18:29:13,2,0,0,0,0,17,19
18:29:14,0,4,70,0,0,17,91
18:29:15,2,4,70,0,750,0,826
18:29:16,0,0,70,20,750,15,855
18:29:17,2,4,140,20,750,17,933
18:29:18,2,0,0,0,0,0,2
18:29:19,2,4,70,0,750,0,826
18:29:20,2,0,70,0,0,0,72
18:29:21,2,0,70,0,0,15,87
18:29:22,0,0,70,0,750,15,835
18:29:23,2,4,70,0,0,2,78
18:29:24,0,0,140,20,0,17,177
18:29:25,2,0,70,0,0,15,87
18:29:26,0,0,70,20,750,0,840
18:29:27,2,0,70,0,750,15,837
18:29:28,0,4,0,0,0,17,21
18:29:29,0,4,0,0,750,0,754
18:29:30,2,0,140,0,0,0,142
18:29:31,0,4,70,20,750,0,844
18:29:32,2,4,70,20,750,0,846
18:29:33,0,0,0,20,750,0,770
18:29:34,0,4,70,20,0,15,109
18:29:35,2,4,140,20,0,0,166
18:29:36,0,0,0,20,750,0,770
18:29:37,0,0,0,20,0,0,20
18:29:38,2,4,0,20,0,17,43
18:29:39,0,0,0,20,0,0,20
18:29:40,2,4,140,20,0,0,166
18:29:41,0,4,140,20,0,15,179
18:29:42,2,0,0,0,750,17,769
18:29:43,0,0,70,0,750,17,837
18:29:44,0,0,0,20,0,17,37
18:29:45,2,4,70,0,0,0,76
18:29:46,2,0,140,0,0,2,144
18:29:47,0,4,70,0,0,0,74
18:29:48,2,4,140,0,750,0,896
18:29:49,2,4,140,20,750,2,918
18:29:50,2,0,70,20,750,15,857
18:29:51,0,4,70,20,0,2,96
18:29:52,2,4,70,20,0,2,98
18:29:53,0,4,140,0,0,0,144
18:29:54,0,4,0,0,750,0,754
18:29:55,2,0,0,20,0,15,37
18:29:56,2,0,70,0,0,2,74
18:29:57,2,4,140,20,0,0,166
18:29:58,0,0,70,0,0,0,70
18:29:59,2,4,70,20,750,15,861
18:30:00,2,0,70,0,0,0,72
18:30:01,0,4,70,20,0,0,94
18:30:02,2,4,70,20,750,15,861
18:30:03,2,4,70,20,750,0,846
18:30:04,0,0,70,0,0,15,85
18:30:05,0,0,140,0,0,15,155
18:30:06,2,4,0,0,750,17,773
